code,code_type,label,family,sector,synonyms
7119.0100,NCO,Well Digger,Building Frame and Related Traders,Mining,building|frame|traders
7542.0100,NCO,Shot Firer,Shotfirers and Blasters,Mining,blasters|shotfirers
8111.0500,NCO,Pick Miners,Miners and Quarriers,Mining,miners|quarriers
8111.2200,NCO,Driller - Hand,Miners and Quarriers,Mining,driller|hand|miners|quarriers
8112.9900,NCO,Mineral and Stone Processing Plant Operators; Other,Crusher Operator; Mineral,Mining,crusher|mineral|operator
8113.0300,NCO,Mudman,Well Drillers and Borers and Related Workers,Mining,borers|drillers
8343.0700,NCO,Overhead Crane Operator,Crane; Hoist and Related Plant Operators,Mining,crane|hoist|plant
8343.1800,NCO,Liftman,Crane; Hoist and Related Plant Operators,Mining,crane|hoist|plant
9311.0100,NCO,Mines; Quarrymen; Related Workers,Mining and Quarrying Labourers,Mining,labourers|mining|quarrying
2166.0201,NCO,Animator/Animator,Graphic and Multimedia Designers Miscellaneous Multimedia Artist and,Unclassified,animator|artist|designers|graphic|miscellaneous|multimedia
3132.0400,NCO,Plant Operator (Waste water),Incinerator and Water Treatment Plant Operators Miscellaneous,Unclassified,incinerator|miscellaneous|plant|treatment|water
3132.1000,NCO,Pumpman,Incinerator and Water Treatment Plant Operators Miscellaneous,Unclassified,incinerator|miscellaneous|plant|treatment|water
3422.0100,NCO,Athletic Coach,Sports Coaches; Instructors and Officials Miscellaneous,Unclassified,coaches|instructors|miscellaneous|officials|sports
3422.0201,NCO,Sports Coach,Sports Coaches; Instructors and Officials Miscellaneous,Unclassified,coaches|instructors|miscellaneous|officials|sports
3422.0300,NCO,Riding Instructor,Sports Coaches; Instructors and Officials Miscellaneous,Unclassified,coaches|instructors|miscellaneous|officials|sports
3422.0400,NCO,Umpire,Sports Coaches; Instructors and Officials Miscellaneous,Unclassified,coaches|instructors|miscellaneous|officials|sports
